index,n,digits_Q47n,log10_n
890,254029336327,527,11.404884
891,254346044967,527,11.405425
892,254372228630,527,11.405470
893,254654529287,527,11.405951
894,255485115383,527,11.407366
895,255574681227,527,11.407518
896,255628217604,527,11.407609
897,255964153845,527,11.408179
898,256161218607,527,11.408513
899,257279602080,527,11.410405
900,257348016048,527,11.410521
901,257504833132,527,11.410785
902,257920977000,527,11.411487
903,258475700285,527,11.412420
904,258732376113,527,11.412851
905,258792850529,527,11.412952
906,258932116128,527,11.413186
907,259527309058,527,11.414183
908,260053241908,527,11.415062
909,260257203364,527,11.415403
910,260261388570,527,11.415410
911,260417900793,527,11.415671
912,260524639135,527,11.415849
913,260872031655,527,11.416428
914,260940646432,527,11.416542
915,261841913722,527,11.418039
916,262383714282,527,11.418937
917,262689541019,527,11.419443
918,263163696285,528,11.420226
919,263644169807,528,11.421018
920,264051592448,528,11.421689
921,264929961593,528,11.423131
922,265425277090,528,11.423942
923,265743900308,528,11.424463
924,266650333309,528,11.425942
925,266986346848,528,11.426489
926,267223247465,528,11.426874
927,267343222694,528,11.427069
928,267343586753,528,11.427070
929,268629989085,528,11.429154
930,268782666053,528,11.429401
931,270301642842,528,11.431849
932,270371264193,528,11.431961
933,270743804727,528,11.432559
934,271115352093,528,11.433154
935,271365271696,528,11.433554
936,271385949024,528,11.433587
937,271467819439,528,11.433718
938,271474015256,528,11.433728
939,271600183028,528,11.433930
940,271752527136,528,11.434174
941,271938183158,528,11.434470
942,272095445295,528,11.434721
943,272509514780,528,11.435382
944,272828329419,528,11.435889
945,273553565117,528,11.437042
946,273584975613,528,11.437092
947,273735646216,528,11.437331
948,273889634080,528,11.437576
949,274241839615,528,11.438134
950,274388343471,528,11.438366
951,274402265577,528,11.438388
952,274630173320,528,11.438748
953,274751436190,528,11.438940
954,275080436980,528,11.439460
955,275153123073,528,11.439574
956,275169177075,528,11.439600
957,276516517477,528,11.441721
958,278139703492,529,11.444263
959,279174197269,529,11.445875
960,279301592298,529,11.446073
961,280105134980,529,11.447321
962,280223726424,529,11.447505
963,281421089425,529,11.449357
964,281793466164,529,11.449931
965,282244084905,529,11.450625
966,282647483843,529,11.451245
967,283099876554,529,11.451940
968,283266688844,529,11.452196
969,283739016745,529,11.452919
970,284177731869,529,11.453590
971,284508291112,529,11.454095
972,285122724192,529,11.455032
973,285248566235,529,11.455223
974,285274378465,529,11.455263
975,285487027664,529,11.455586
976,285502854652,529,11.455610
977,285648411944,529,11.455832
978,286496730403,529,11.457120
979,287019890957,529,11.457912
980,287049260662,529,11.457956
981,287200563741,529,11.458185
982,287908332550,529,11.459254
983,287953998591,529,11.459323
984,288982737955,529,11.460872
985,289062625527,529,11.460992
986,289733330524,529,11.461998
987,289908872008,529,11.462262
988,290095059265,529,11.462540
989,290276738849,529,11.462812
990,290590409098,529,11.463281
991,290789129381,529,11.463578
